1934 7 -0.24
1934 8 0.21
1934 9 0.06
1934 10 0.33
1934 11 0.01
1934 12 -0.93
1935 1 -0.03
1935 2 1.73
1935 3 -0.21
1935 4 -1.18
1935 5 -0.83
1935 6 0.04
1935 7 0.79
1935 8 0.18
1935 9 -0.37
1935 10 1.31
1935 11 0.41
1935 12 -1.55
1936 1 -2.03
1936 2 -2.26
1936 3 -1.06
1936 4 -0.1
1936 5 0.03
1936 6 0.25
1936 7 -0.17
1936 8 0.45
1936 9 -0.49
1936 10 1.02
1936 11 0.99
1936 12 1.67
1937 1 0.66
1937 2 -0.52
1937 3 -1.94
1937 4 -0.05
1937 5 0.53
1937 6 0.54
1937 7 -0.16
1937 8 0.42
1937 9 0.5
1937 10 -0.06
1937 11 -0.99
1937 12 -1.23
1938 1 0.91
1938 2 0.24
1938 3 1.73
1938 4 0.45
1938 5 0.11
1938 6 0.89
1938 7 0.47
1938 8 0.28
1938 9 0.45
1938 10 1.36
1938 11 1.15
1938 12 -0.37
1939 1 -1.36
1939 2 1.57
1939 3 0.15
1939 4 -0.06
1939 5 0.04
1939 6 -0.14
1939 7 -0.32
1939 8 0.01
1939 9 -1.1
1939 10 -0.44
1939 11 0.45
1939 12 -1.16
1940 1 -3.06
1940 2 -1.81
1940 3 -1.64
1940 4 -0.51
1940 5 -0.39
1940 6 0.24
1940 7 -0.13
1940 8 0.72
1940 9 0.27
1940 10 -0.61
1940 11 0.7
1940 12 0.27
1941 1 -2.36
1941 2 -1.52
1941 3 -1.15
1941 4 -0.58
1941 5 0.21
1941 6 0.42
1941 7 0.5
1941 8 -0.21
1941 9 -0.39
1941 10 -0.18
1941 11 -0.28
1941 12 0.51
1942 1 0.14
1942 2 -3.04
1942 3 -1.64
1942 4 -0.28
1942 5 0.25
1942 6 -0.36
1942 7 0.34
1942 8 0.37
1942 9 0.77
1942 10 0.21
1942 11 -0.38
1942 12 0.3
1943 1 -0.97
1943 2 2.29
1943 3 0.86
1943 4 2.23
1943 5 0.58
1943 6 0.02
1943 7 0.04
1943 8 -1.18
1943 9 0.15
1943 10 -0.16
1943 11 0.13
1943 12 1.02
1944 1 1.47
1944 2 -0.24
1944 3 -0.45
1944 4 -0.32
1944 5 0.87
1944 6 -0.13
1944 7 -0.78
1944 8 0.35
1944 9 0.48
1944 10 0.63
1944 11 -0.89
1944 12 0.25
1945 1 -2.72
